FILE                     	INSTRUME                 	DATE_OBS                 	XCEN                   	YCEN                   	FOVX                   	FOVY                  
eis_l0_20110131_235225        	EIS                           	2011-01-31 23:52:25           	-462.210                      	-256.267                      	239.616                       	512.000                       
eis_l0_20110131_214821        	EIS                           	2011-01-31 21:48:21           	-477.724                      	-257.348                      	299.520                       	296.000                       
eis_l0_20110131_202908        	EIS                           	2011-01-31 20:29:08           	-487.457                      	-257.966                      	299.520                       	296.000                       
eis_l0_20110131_190955        	EIS                           	2011-01-31 19:09:55           	-497.113                      	-258.662                      	299.520                       	296.000                       
eis_l0_20110131_180400        	EIS                           	2011-01-31 18:04:00           	-0.021                        	-0.346                        	1.000                         	256.000                       
eis_l0_20110131_180219        	EIS                           	2011-01-31 18:02:19           	-19.521                       	-0.346                        	40.000                        	256.000                       
eis_l0_20110131_155956        	EIS                           	2011-01-31 15:59:56           	-474.706                      	-260.438                      	59.904                        	368.000                       
eis_l0_20110131_155430        	EIS                           	2011-01-31 15:54:30           	-475.247                      	-260.438                      	59.904                        	368.000                       
eis_l0_20110131_154903        	EIS                           	2011-01-31 15:49:03           	-475.942                      	-260.516                      	59.904                        	368.000                       
eis_l0_20110131_154336        	EIS                           	2011-01-31 15:43:36           	-476.483                      	-260.593                      	59.904                        	368.000                       
eis_l0_20110131_153809        	EIS                           	2011-01-31 15:38:09           	-477.178                      	-260.593                      	59.904                        	368.000                       
eis_l0_20110131_153243        	EIS                           	2011-01-31 15:32:43           	-477.873                      	-260.593                      	59.904                        	368.000                       
eis_l0_20110131_152716        	EIS                           	2011-01-31 15:27:16           	-478.491                      	-260.824                      	59.904                        	368.000                       
eis_l0_20110131_152149        	EIS                           	2011-01-31 15:21:49           	-479.186                      	-260.747                      	59.904                        	368.000                       
eis_l0_20110131_151622        	EIS                           	2011-01-31 15:16:22           	-479.804                      	-260.902                      	59.904                        	368.000                       
eis_l0_20110131_151056        	EIS                           	2011-01-31 15:10:56           	-480.499                      	-260.979                      	59.904                        	368.000                       
eis_l0_20110131_150529        	EIS                           	2011-01-31 15:05:29           	-481.118                      	-260.979                      	59.904                        	368.000                       
eis_l0_20110131_150002        	EIS                           	2011-01-31 15:00:02           	-481.813                      	-260.979                      	59.904                        	368.000                       
eis_l0_20110131_145435        	EIS                           	2011-01-31 14:54:35           	-482.431                      	-260.979                      	59.904                        	368.000                       
eis_l0_20110131_144908        	EIS                           	2011-01-31 14:49:08           	-482.971                      	-261.056                      	59.904                        	368.000                       
eis_l0_20110131_144342        	EIS                           	2011-01-31 14:43:42           	-483.589                      	-261.288                      	59.904                        	368.000                       
eis_l0_20110131_143815        	EIS                           	2011-01-31 14:38:15           	-484.285                      	-261.211                      	59.904                        	368.000                       
eis_l0_20110131_143248        	EIS                           	2011-01-31 14:32:48           	-484.903                      	-261.288                      	59.904                        	368.000                       
eis_l0_20110131_142721        	EIS                           	2011-01-31 14:27:21           	-485.598                      	-261.365                      	59.904                        	368.000                       
eis_l0_20110131_142155        	EIS                           	2011-01-31 14:21:55           	-486.216                      	-261.442                      	59.904                        	368.000                       
eis_l0_20110131_141628        	EIS                           	2011-01-31 14:16:28           	-486.834                      	-261.365                      	59.904                        	368.000                       
eis_l0_20110131_141101        	EIS                           	2011-01-31 14:11:01           	-487.529                      	-261.442                      	59.904                        	368.000                       
